id,joint_position,ball_loc
64,[ 1.2100835  3.2197314  2.5974419  0.3424527  0.7928941 -0.8628247 -0.3490682],[ 1.208926 -0.095492  0.406448]
65,[ 1.2130117  3.2197397  2.597404   0.3424523  0.7929072 -0.8628179 -0.3490402],[ 1.208757 -0.095171  0.406495]
66,[ 1.2247423  3.219797   2.5974293  0.342439   0.7929324 -0.8627849 -0.3490871],[ 1.207878 -0.093446  0.406429]
67,[ 1.2277747  3.2197633  2.5974307  0.342442   0.7929138 -0.8628169 -0.3490569],[ 1.20769  -0.09309   0.406403]
68,[ 1.2368717  3.2197335  2.5974982  0.3424597  0.7929178 -0.862846  -0.3490161],[ 1.206956 -0.091703  0.406434]
69,[ 1.2399938  3.2197326  2.5974059  0.3424648  0.7929415 -0.8627474 -0.3490829],[ 1.206763 -0.091329  0.406384]
70,[ 1.2429991  3.2197388  2.5974488  0.3424493  0.7929311 -0.8628251 -0.3490656],[ 1.206571 -0.090976  0.406332]
71,[ 1.2551474  3.2197917  2.5974231  0.3424334  0.7929171 -0.8627562 -0.3490841],[ 1.205611 -0.089244  0.40635 ]
72,[ 1.2582435  3.2198115  2.5974586  0.3423934  0.7929398 -0.8627579 -0.3490407],[ 1.20542  -0.088897  0.406353]
73,[ 1.2703885  3.2197416  2.5974347  0.3424488  0.7929314 -0.8627754 -0.3490781],[ 1.204438 -0.087162  0.406288]
74,[ 1.2733742  3.2197836  2.5974266  0.3424403  0.7929243 -0.8627867 -0.3490877],[ 1.204237 -0.086792  0.406246]
75,[ 1.285697   3.2197812  2.5974843  0.3424458  0.7929724 -0.8627937 -0.3490544],[ 1.203205 -0.085065  0.406236]
76,[ 1.2888728  3.2197605  2.5974779  0.3424572  0.7929423 -0.8627642 -0.3490826],[ 1.202999 -0.084696  0.406184]
77,[ 1.3012109  3.2197645  2.5974095  0.3423764  0.7929446 -0.8627942 -0.3490676],[ 1.201945 -0.082979  0.406179]
78,[ 1.3041944  3.2197679  2.5974224  0.3424326  0.7929591 -0.8627677 -0.3490921],[ 1.201732 -0.082629  0.406185]
79,[ 1.3163267  3.2197238  2.5974643  0.3423889  0.7929196 -0.8627365 -0.3490299],[ 1.200645 -0.080906  0.406068]
80,[ 1.3192594  3.219729   2.5974204  0.3424522  0.79291   -0.8627741 -0.3490882],[ 1.200442 -0.080576  0.406082]
81,[ 1.3279587  3.2198053  2.5974438  0.3424231  0.7929158 -0.8628332 -0.3490978],[ 1.1996   -0.079294  0.406044]
82,[ 1.3308701  3.2197548  2.5974033  0.3424237  0.7929312 -0.8627604 -0.3490777],[ 1.199396 -0.078981  0.406064]
83,[ 1.333713   3.2197571  2.5974266  0.3424477  0.7928908 -0.8627805 -0.3490938],[ 1.199183 -0.078687  0.406116]
84,[ 1.3453865  3.2197733  2.5974305  0.3424245  0.7928912 -0.8627879 -0.349066 ],[ 1.198057 -0.077112  0.406097]
85,[ 1.3484611  3.2198017  2.5974171  0.3424508  0.7929514 -0.8628141 -0.3491128],[ 1.197835 -0.076769  0.406076]
86,[ 1.3608278  3.219761   2.5974359  0.3424488  0.7929559 -0.8627986 -0.3490618],[ 1.196705 -0.075118  0.406035]
87,[ 1.3638681  3.2197826  2.5974286  0.3424433  0.7929436 -0.8627609 -0.3490793],[ 1.196454 -0.074756  0.405997]
88,[ 1.3762376  3.219791   2.5974681  0.342445   0.7928824 -0.8628093 -0.3491493],[ 1.195261 -0.073123  0.405983]
89,[ 1.3793237  3.2197269  2.5974543  0.3424343  0.7929199 -0.8627723 -0.349076 ],[ 1.195026 -0.072803  0.405993]
90,[ 1.3913327  3.2197192  2.5973813  0.3424556  0.7929364 -0.8627865 -0.349145 ],[ 1.193878 -0.07123   0.405921]
91,[ 1.3941702  3.2197428  2.5973849  0.3424652  0.7929402 -0.8627645 -0.3491016],[ 1.193631 -0.070932  0.405933]
92,[ 1.4060238  3.2197238  2.597398   0.3424331  0.7929015 -0.8627893 -0.3490588],[ 1.192484 -0.069403  0.405918]
93,[ 1.4090713  3.2198189  2.5974452  0.3424277  0.7929715 -0.8628132 -0.3491014],[ 1.192259 -0.069055  0.405834]
