id,joint_position,ball_loc
61,[ 0.906995   2.8161309  2.8392178  3.4656944  1.1910949  0.0396922 -0.1618522],[ 1.068279 -0.433158  0.361016]
62,[ 0.9100507  2.8160556  2.839265   3.4657044  1.1910925  0.0396636 -0.1618608],[ 1.068941 -0.433138  0.361067]
63,[ 0.9192914  2.8160677  2.8392321  3.4656741  1.1910812  0.0396817 -0.1617852],[ 1.071602 -0.433185  0.361073]
64,[ 0.9223315  2.8160453  2.8392178  3.4656868  1.1910798  0.0396957 -0.1618358],[ 1.072201 -0.433092  0.361199]
65,[ 0.9254879  2.8160379  2.8392707  3.4657361  1.1910757  0.0396453 -0.1618591],[ 1.07294  -0.433119  0.361152]
66,[ 0.9347509  2.8160608  2.8391868  3.4657147  1.1911214  0.0396839 -0.1618288],[ 1.075832 -0.433105  0.361135]
67,[ 0.9379762  2.8160975  2.8392731  3.4657604  1.1911132  0.0396962 -0.1617964],[ 1.076527 -0.433051  0.361199]
68,[ 0.9411553  2.8160749  2.839187   3.4657328  1.1911155  0.0396833 -0.1618131],[ 1.07722  -0.433081  0.361184]
69,[ 0.9499989  2.8160737  2.8392526  3.4657447  1.1911361  0.0396932 -0.1618804],[ 1.079912 -0.432922  0.361261]
70,[ 0.9531489  2.8160792  2.8392376  3.4657139  1.1911933  0.0397084 -0.1618005],[ 1.08058  -0.432906  0.361267]
71,[ 0.9645858  2.8161028  2.8392233  3.4656679  1.1911013  0.0396751 -0.1618215],[ 1.083848 -0.432728  0.361321]
72,[ 0.9674466  2.8160594  2.8392194  3.4656696  1.1911732  0.0396984 -0.1617901],[ 1.084543 -0.43272   0.361299]
73,[ 0.9790075  2.8160329  2.8392368  3.465738   1.1910966  0.0397136 -0.1618368],[ 1.087818 -0.43251   0.36133 ]
74,[ 0.9823545  2.816021   2.8392163  3.4657743  1.1910518  0.0396927 -0.1618503],[ 1.088437 -0.43244   0.361335]
75,[ 0.9939835  2.8160143  2.8392292  3.4656882  1.1910831  0.0396767 -0.161875 ],[ 1.091751 -0.432188  0.3614  ]
76,[ 0.9972758  2.8160983  2.8392044  3.4656908  1.1911281  0.0396994 -0.1618289],[ 1.09243  -0.432121  0.361396]
77,[ 1.000257   2.8160608  2.8392316  3.4656593  1.1910764  0.0396754 -0.1618196],[ 1.093094 -0.432064  0.361419]
78,[ 1.0089642  2.8160611  2.8392476  3.465688   1.1911164  0.0397148 -0.1618598],[ 1.095751 -0.431796  0.361482]
79,[ 1.0119861  2.8160563  2.8391749  3.4656942  1.1911177  0.0396588 -0.1618231],[ 1.096452 -0.431773  0.361454]
80,[ 1.0239907  2.8160334  2.8392147  3.4657051  1.1911281  0.0397352 -0.1618243],[ 1.099736 -0.431376  0.36154 ]
81,[ 1.027109   2.8160892  2.8392419  3.4657552  1.1911145  0.0397319 -0.1618996],[ 1.100487 -0.4313    0.361507]
82,[ 1.0391968  2.8160804  2.8391923  3.465681   1.1911125  0.0396829 -0.1618395],[ 1.103804 -0.430875  0.361546]
83,[ 1.0421816  2.8160532  2.8392042  3.4656987  1.1910804  0.0396611 -0.1618805],[ 1.104447 -0.430853  0.361538]
84,[ 1.0543152  2.8160823  2.839245   3.4656572  1.1910226  0.0397419 -0.1618438],[ 1.107857 -0.430301  0.361606]
85,[ 1.0576124  2.8160544  2.8392972  3.4656965  1.1911173  0.0396926 -0.1618451],[ 1.108508 -0.430209  0.36161 ]
86,[ 1.0691547  2.8160384  2.8392938  3.4657147  1.1910692  0.0397265 -0.1618491],[ 1.111096 -0.429801  0.361659]
87,[ 1.0719796  2.8159976  2.8392318  3.4657027  1.1911002  0.0397215 -0.1618171],[ 1.112364 -0.429576  0.361717]
88,[ 1.0752688  2.8160582  2.8392309  3.4657054  1.1910775  0.0396889 -0.1618814],[ 1.11303  -0.429496  0.361665]
89,[ 1.0841779  2.8160565  2.8392218  3.4656734  1.1910219  0.0396708 -0.1617962],[ 1.115548 -0.429023  0.361729]
90,[ 1.0869672  2.8160811  2.8392461  3.4657201  1.1910351  0.0397287 -0.1618533],[ 1.115548 -0.429023  0.361729]
91,[ 1.0899373  2.816036   2.8392595  3.4656877  1.1910637  0.0397279 -0.1618188],[ 1.116895 -0.428809  0.361716]
92,[ 1.0993701  2.8160103  2.8392094  3.4656539  1.1910225  0.0396573 -0.1617981],[ 1.119545 -0.428316  0.361756]
93,[ 1.1021367  2.8160706  2.8391961  3.4657156  1.1910466  0.039699  -0.1618773],[ 1.120224 -0.428205  0.361752]
94,[ 1.1144294  2.8160415  2.8392306  3.465657   1.1910479  0.0396367 -0.1618236],[ 1.123559 -0.427522  0.361777]
95,[ 1.1173744  2.8160396  2.8392898  3.4657507  1.1910773  0.0396548 -0.1618413],[ 1.124239 -0.427381  0.361782]
96,[ 1.1292091  2.8161052  2.8392891  3.4657352  1.1911112  0.0396737 -0.161851 ],[ 1.127485 -0.426702  0.361894]
97,[ 1.1321707  2.816139   2.8393024  3.4656555  1.191022   0.039666  -0.1618845],[ 1.128117 -0.426527  0.361875]
98,[ 1.1437422  2.8160425  2.8392516  3.4656696  1.1911332  0.0397082 -0.1618112],[ 1.131202 -0.425816  0.361944]
99,[ 1.1464796  2.8160983  2.8392149  3.4656503  1.191075   0.0396768 -0.1618852],[ 1.131837 -0.425686  0.361907]
100,[ 1.1583611  2.8161171  2.8392538  3.465666   1.1911251  0.0396949 -0.1618105],[ 1.134997 -0.424879  0.361931]
101,[ 1.1614265  2.8161333  2.8392535  3.4656603  1.1910273  0.0397467 -0.1618046],[ 1.135628 -0.424709  0.36194 ]
102,[ 1.1644588  2.8160189  2.8392798  3.4656801  1.1910862  0.0396397 -0.1618391],[ 1.136299 -0.424537  0.361969]
103,[ 1.173854   2.8160656  2.8392366  3.4656644  1.1910753  0.0397134 -0.1618577],[ 1.138924 -0.42381   0.362036]
104,[ 1.1768709  2.8160289  2.8392397  3.4656431  1.191117   0.0396951 -0.161798 ],[ 1.139634 -0.42365   0.362016]
105,[ 1.1892559  2.8160813  2.8392855  3.465651   1.1910649  0.0396943 -0.1618345],[ 1.142936 -0.422719  0.362069]
106,[ 1.1925776  2.8160539  2.8392371  3.4656202  1.1910758  0.039742  -0.1618218],[ 1.143583 -0.422555  0.362049]
107,[ 1.2041201  2.8160642  2.8392223  3.4656393  1.1910647  0.039713  -0.1618602],[ 1.146692 -0.421582  0.362119]
108,[ 1.2071398  2.8161328  2.8392781  3.4656291  1.191158   0.0397297 -0.1617873],[ 1.147338 -0.421405  0.362137]
109,[ 1.2189116  2.816068   2.8392388  3.4656894  1.1911009  0.0396954 -0.161845 ],[ 1.15048  -0.420439  0.362148]
110,[ 1.2218331  2.8160625  2.8391849  3.4656548  1.1910802  0.0396652 -0.1618393],[ 1.151101 -0.420205  0.362158]
111,[ 1.2339359  2.8160282  2.83925    3.4656951  1.1910765  0.0397133 -0.1618637],[ 1.154301 -0.419188  0.36218 ]
112,[ 1.2371312  2.8160837  2.8392175  3.4656386  1.1910218  0.0396639 -0.1619021],[ 1.154916 -0.418927  0.362199]
113,[ 1.249215   2.8160661  2.8392011  3.4656281  1.1911096  0.0396604 -0.1618788],[ 1.158127 -0.417845  0.362188]
114,[ 1.2521997  2.8159581  2.839203   3.4656269  1.1910751  0.0397094 -0.1618507],[ 1.158783 -0.417617  0.362202]
115,[ 1.264294   2.8160384  2.8392111  3.4656872  1.1910907  0.039748  -0.1618034],[ 1.161912 -0.416459  0.362188]
116,[ 1.2677241  2.8160396  2.8392709  3.4656784  1.1910652  0.039739  -0.161827 ],[ 1.162571 -0.416234  0.362217]
117,[ 1.2798162  2.8160642  2.8392523  3.4656546  1.1910205  0.0397317 -0.161861 ],[ 1.165757 -0.415015  0.36222 ]
118,[ 1.2827562  2.8160198  2.8392395  3.4656005  1.1910337  0.0397477 -0.1617834],[ 1.166441 -0.414774  0.362244]
119,[ 1.2951286  2.8160611  2.8392247  3.4655971  1.1910889  0.0396911 -0.1618083],[ 1.169587 -0.413489  0.36223 ]
120,[ 1.2983176  2.8160057  2.8392426  3.4656348  1.191058   0.0396291 -0.1618372],[ 1.170231 -0.41322   0.362283]
121,[ 1.3102261  2.8160959  2.839198   3.4655971  1.1910707  0.0397434 -0.161802 ],[ 1.173359 -0.411945  0.362286]
122,[ 1.313061   2.8160599  2.839259   3.4656298  1.1910623  0.039684  -0.1618123],[ 1.173958 -0.411655  0.362332]
123,[ 1.3246195  2.8160444  2.8392273  3.4656374  1.1910523  0.0396552 -0.1618456],[ 1.176921 -0.410371  0.362306]
124,[ 1.3279633  2.8160947  2.8392495  3.4656133  1.191059   0.0396642 -0.1618649],[ 1.177511 -0.410095  0.362314]
125,[ 1.3395359  2.8160205  2.8392869  3.4656276  1.1910637  0.0396722 -0.1618519],[ 1.180475 -0.408753  0.362384]
126,[ 1.3425697  2.8160487  2.8392886  3.4656279  1.1910381  0.0396648 -0.1618784],[ 1.181111 -0.408455  0.36239 ]
127,[ 1.3549055  2.8160842  2.8392788  3.4656598  1.1911141  0.0397435 -0.1618659],[ 1.184236 -0.406991  0.362384]
128,[ 1.3580456  2.816052   2.8391815  3.4656338  1.1910288  0.0396657 -0.1618486],[ 1.184855 -0.406665  0.362424]
129,[ 1.3703408  2.8160761  2.8392342  3.4655876  1.1910598  0.0397166 -0.1618375],[ 1.187911 -0.405169  0.362476]
130,[ 1.373255   2.8160954  2.8392249  3.4656014  1.191006   0.0397557 -0.161827 ],[ 1.188537 -0.404875  0.362473]
131,[ 1.3851443  2.8160518  2.8392178  3.4655842  1.191091   0.039759  -0.1618572],[ 1.191467 -0.403369  0.362501]
132,[ 1.3880193  2.8160758  2.839239   3.465544   1.1910561  0.0396955 -0.1618249],[ 1.192012 -0.403064  0.362529]
133,[ 1.3999343  2.8160124  2.8392426  3.4656014  1.1911075  0.0396757 -0.1618863],[ 1.194901 -0.401565  0.362579]
