id,joint_position,ball_loc
62,[-2.2379306  1.5988863  2.0495498  0.3420238  1.979546   0.033982  -0.1582052],[ 0.650022 -0.262174  0.078118]
63,[-2.2379397  1.5989326  2.0495756  0.3420067  1.9795771  0.0339845 -0.1582313],[ 0.650022 -0.262174  0.078122]
64,[-2.2379125  1.5988759  2.0495677  0.3419456  1.979555   0.0340039 -0.1581738],[ 0.650021 -0.262168  0.078116]
65,[-2.2379058  1.5988697  2.0495381  0.3420897  1.979618   0.0340557 -0.1582294],[ 0.650022 -0.26216   0.078115]
66,[-2.237963   1.5988774  2.0495329  0.3420401  1.9795552  0.0340459 -0.1582484],[ 0.650023 -0.262163  0.078118]
67,[-2.2379692  1.5988284  2.0495462  0.3420429  1.9795761  0.033977  -0.1581817],[ 0.650027 -0.26217   0.07811 ]
68,[-2.2379392  1.5989     2.0495458  0.3420582  1.979628   0.0339921 -0.1582253],[ 0.650024 -0.262173  0.078115]
69,[-2.2378801  1.59884    2.0495303  0.3420429  1.9795523  0.034034  -0.1582216],[ 0.650024 -0.262169  0.078116]
70,[-2.2379811  1.5988663  2.0495815  0.3420229  1.9796444  0.0340158 -0.1582116],[ 0.650021 -0.262174  0.078113]
71,[-2.2379597  1.5988796  2.0495439  0.3419638  1.9795992  0.0340115 -0.1582173],[ 0.650021 -0.262168  0.078119]
72,[-2.2378762  1.5988437  2.0495498  0.3419304  1.9795778  0.0340026 -0.1582145],[ 0.650021 -0.262166  0.078119]
73,[-2.0011686  1.7669247  2.31164    0.4976969  2.394922   0.0451665 -0.1582047],[ 0.722709 -0.236753  0.054524]
74,[-2.0011929  1.7669911  2.3116338  0.4977493  2.3948798  0.0452101 -0.1582254],[ 0.722708 -0.236755  0.05453 ]
75,[-2.0011514  1.7669551  2.3116262  0.4977732  2.3948517  0.0452056 -0.1582668],[ 0.722704 -0.23675   0.054526]
76,[-2.00121    1.7669634  2.3116271  0.4977331  2.3948777  0.0452129 -0.158259 ],[ 0.722705 -0.236753  0.054529]
77,[-2.0011886  1.7669954  2.3115897  0.4976225  2.3948522  0.0452084 -0.1582452],[ 0.72271  -0.236757  0.05453 ]
78,[-2.0011838  1.7669929  2.3116479  0.4978008  2.3948765  0.045251  -0.15823  ],[ 0.722713 -0.236757  0.054531]
79,[-2.0011933  1.7669607  2.3116262  0.4977942  2.3948781  0.0451755 -0.1582038],[ 0.72271  -0.236756  0.054526]
80,[-2.00121    1.7669673  2.3116317  0.4977341  2.3948829  0.0451836 -0.1582102],[ 0.722709 -0.236751  0.054528]
81,[-2.0011886  1.7669306  2.3116217  0.4977827  2.3948097  0.0452482 -0.158243 ],[ 0.722708 -0.236746  0.054525]
82,[-2.0011609  1.7670057  2.3116755  0.4977541  2.3948293  0.0451847 -0.1581898],[ 0.722709 -0.236746  0.054522]
83,[-2.0012072  1.766921   2.3116207  0.4977045  2.3948863  0.0452025 -0.1582083],[ 0.722711 -0.236755  0.054527]
84,[-2.00119    1.7669369  2.3116202  0.4977131  2.3948555  0.0451943 -0.1582274],[ 0.722714 -0.236754  0.054527]
85,[-2.0012019  1.7669735  2.3116298  0.4978018  2.3948083  0.0452265 -0.1582748],[ 0.722706 -0.236748  0.054522]
86,[-2.0011829  1.7669396  2.3116047  0.4977636  2.3948696  0.0452113 -0.1582305],[ 0.722706 -0.236749  0.054525]
87,[-2.0011829  1.7669822  2.3116465  0.4977913  2.3948426  0.0452453 -0.1582011],[ 0.722706 -0.23675   0.054525]
88,[-2.0011981  1.7669526  2.311604   0.4977598  2.394906   0.0452155 -0.1582342],[ 0.72271  -0.236749  0.054525]
89,[-2.0011538  1.7669477  2.3116293  0.4977579  2.394819   0.0451904 -0.1582262],[ 0.722711 -0.236754  0.05453 ]
90,[-2.0012396  1.7669631  2.3116663  0.4977579  2.394886   0.0452096 -0.1582571],[ 0.72271  -0.236753  0.054528]
91,[-2.0011414  1.7669557  2.3116307  0.4977665  2.394856   0.0451971 -0.1582395],[ 0.722709 -0.236753  0.054524]
92,[-2.0011342  1.7669472  2.3116367  0.4977827  2.3948228  0.045231  -0.1581777],[ 0.722707 -0.236751  0.054522]
93,[-2.0011871  1.7669178  2.3116243  0.4977636  2.3949068  0.0452296 -0.1582234],[ 0.722713 -0.236751  0.054519]
94,[-2.001201   1.7669672  2.3116608  0.4977751  2.3948467  0.0452026 -0.1582036],[ 0.722713 -0.23675   0.054525]
95,[-2.0011762  1.7669556  2.3116009  0.4978037  2.394892   0.0451719 -0.1582582],[ 0.722714 -0.236754  0.054526]
96,[-2.0011666  1.7669234  2.3116829  0.4977932  2.3948586  0.0451743 -0.1582143],[ 0.722705 -0.236752  0.054524]
97,[-2.0011604  1.7669634  2.3116074  0.4977608  2.3948536  0.0451942 -0.1582882],[ 0.722706 -0.236752  0.054519]
98,[-2.001169   1.7669182  2.3116269  0.4977932  2.3948658  0.0452459 -0.1582025],[ 0.72271  -0.23675   0.054525]
99,[-2.0011848  1.7669727  2.3115973  0.4978294  2.3948801  0.0451426 -0.1582088],[ 0.722711 -0.236751  0.05452 ]
100,[-2.001159   1.7669697  2.311625   0.4977083  2.3948629  0.0452293 -0.1582162],[ 0.722714 -0.23675   0.054517]
101,[-2.0011886  1.7670097  2.3116174  0.4977703  2.3948867  0.045158  -0.1582311],[ 0.72271  -0.236751  0.054521]
102,[-1.2721193  1.6398809  1.8986609  0.2373457  2.4115112  0.0333006 -0.1582093],[ 0.889058 -0.52749   0.148172]
103,[-1.2721871  1.6399336  1.8986979  0.2373981  2.4114904  0.0332905 -0.1581976],[ 0.889059 -0.527483  0.14817 ]
104,[-1.272148   1.6398809  1.8986552  0.2373047  2.4115455  0.0332466 -0.1582473],[ 0.889053 -0.52741   0.148129]
105,[-1.2721117  1.6398342  1.8986938  0.2374315  2.4114935  0.0333412 -0.1582128],[ 0.889047 -0.527396  0.148115]
106,[-1.2721589  1.6398687  1.8986747  0.2374477  2.4115334  0.0332966 -0.1581973],[ 0.889023 -0.52736   0.148103]
107,[-1.2721489  1.6399145  1.8987391  0.23736    2.411485   0.0333034 -0.1582703],[ 0.88903  -0.527378  0.148105]
108,[-1.2721303  1.6398289  1.8986527  0.2374249  2.4115138  0.0332639 -0.1581636],[ 0.889043 -0.527451  0.14813 ]
109,[-1.2721608  1.6398568  1.8986448  0.2373848  2.4115217  0.0333109 -0.1582197],[ 0.889054 -0.527468  0.148139]
110,[-1.2721303  1.6398576  1.8986367  0.2373991  2.4114594  0.0332952 -0.1582211],[ 0.88906  -0.527481  0.148137]
111,[-1.2720931  1.6398902  1.8986664  0.2374067  2.4115105  0.0332993 -0.1582137],[ 0.889059 -0.527468  0.148134]
112,[-1.2721136  1.6398805  1.8987044  0.2373495  2.4115233  0.033264  -0.1581371],[ 0.889053 -0.527457  0.148141]
113,[-1.2721198  1.6398875  1.8986893  0.2373943  2.4115314  0.0333302 -0.1582056],[ 0.889032 -0.527379  0.148116]
114,[-1.2722014  1.6398427  1.8987398  0.2373104  2.4114807  0.0333045 -0.1581986],[ 0.889034 -0.527373  0.148115]
115,[-0.7410668  1.6029202  1.8859617  0.2396727  2.738961   0.033327  -0.1581596],[ 1.068132 -0.529052  0.144055]
116,[-0.7410911  1.6028931  1.8860797  0.239666   2.739044   0.0333518 -0.1582679],[ 1.068131 -0.529056  0.144061]
117,[-0.741113   1.6029112  1.886089   0.2397509  2.7389495  0.033342  -0.1582236],[ 1.068139 -0.529056  0.144058]
118,[-0.7411302  1.6029114  1.8860189  0.2397833  2.7389936  0.0332964 -0.1582049],[ 1.068138 -0.52906   0.144057]
119,[-0.741093   1.6028848  1.8860317  0.2397299  2.7389996  0.0333333 -0.158213 ],[ 1.068141 -0.529061  0.144051]
120,[-0.7410863  1.6029273  1.8860692  0.239625   2.7389996  0.0333543 -0.1582456],[ 1.068135 -0.52907   0.144057]
121,[-0.7411268  1.6029468  1.8860216  0.2396832  2.7389324  0.033328  -0.1581511],[ 1.068132 -0.529068  0.14405 ]
122,[-0.7410901  1.6029719  1.8860714  0.2397203  2.7390175  0.0333656 -0.1582311],[ 1.068137 -0.529059  0.144051]
123,[-0.7410591  1.6028913  1.8860117  0.2396507  2.7390096  0.033336  -0.1582019],[ 1.068138 -0.529046  0.144052]
124,[-0.7411102  1.6028917  1.8860915  0.239706   2.7389917  0.0333299 -0.1581812],[ 1.068139 -0.529048  0.144053]
125,[-0.7411044  1.6028756  1.886059   0.2396603  2.7390034  0.0333065 -0.1581981],[ 1.068135 -0.529059  0.144049]
126,[-0.7411116  1.6029186  1.8859922  0.2396584  2.7389998  0.033339  -0.1582088],[ 1.068138 -0.529062  0.144053]
127,[-0.7411512  1.6028467  1.8860053  0.2396784  2.7389927  0.0333348 -0.1581846],[ 1.068136 -0.529066  0.144055]
128,[-0.741102   1.6029158  1.8860693  0.2396784  2.7390089  0.0333166 -0.1581967],[ 1.068134 -0.529067  0.144055]
129,[-0.741134   1.6029334  1.886047   0.2396736  2.7389791  0.0333463 -0.1583149],[ 1.068136 -0.529052  0.144057]
130,[-0.7411192  1.6029025  1.886027   0.2396431  2.7390413  0.0333242 -0.158229 ],[ 1.068138 -0.529052  0.144055]
131,[-0.7411221  1.6029402  1.8860053  0.2397108  2.7389743  0.033349  -0.1581507],[ 1.068139 -0.529052  0.144051]
132,[-0.7410949  1.6029184  1.8860641  0.2396517  2.7390063  0.0333454 -0.1582278],[ 1.068137 -0.529064  0.144049]
133,[-0.7411483  1.6029137  1.886052   0.2397089  2.7389677  0.0333192 -0.1582012],[ 1.068136 -0.529064  0.144046]
134,[-0.7411388  1.6029315  1.8860282  0.2396603  2.7390218  0.0333317 -0.1581646],[ 1.068133 -0.529063  0.144052]
135,[-0.7410978  1.6028796  1.8860726  0.2396479  2.7390163  0.0333138 -0.158232 ],[ 1.068135 -0.529059  0.144051]
136,[-0.741123   1.6029024  1.8860347  0.2396898  2.7390172  0.0333735 -0.1582248],[ 1.06814  -0.529053  0.144056]
137,[-0.7410834  1.6029348  1.8860179  0.2396221  2.7390246  0.0333678 -0.158258 ],[ 1.068138 -0.529048  0.144057]
138,[-0.7411354  1.6029071  1.8860246  0.2395678  2.7389936  0.0333396 -0.1582249],[ 1.068136 -0.529056  0.144055]
139,[-0.7411154  1.6028816  1.8860356  0.2396402  2.7390068  0.0333058 -0.1582133],[ 1.068136 -0.529056  0.144061]
140,[-0.7411302  1.6028739  1.8860552  0.2397032  2.7389967  0.0333416 -0.1582133],[ 1.068132 -0.52906   0.144053]
141,[-0.7411321  1.6029221  1.8860502  0.2397051  2.7389216  0.0334155 -0.1582204],[ 1.068135 -0.529064  0.144053]
142,[-0.7410911  1.6028651  1.8861096  0.2396784  2.7389731  0.0333467 -0.1582364],[ 1.068141 -0.529058  0.144057]
