id,joint_position,ball_loc
143,[-2.3036042  1.922887   2.0073785  0.8322412  2.0461082  0.4057185 -0.160163 ],[ 0.598072 -0.326251  0.2831  ]
144,[-2.3035803  1.9229004  2.007362   0.8322329  2.0461013  0.4057484 -0.1601194],[ 0.598069 -0.326256  0.283106]
145,[-2.3034807  1.9226906  2.0073641  0.8323433  2.0452797  0.8510128 -0.16018  ],[ 0.613516 -0.387099  0.285634]
146,[-2.3034897  1.9227275  2.0072871  0.8323196  2.0452914  0.8509723 -0.1601202],[ 0.613515 -0.387094  0.285631]
147,[-2.3035119  1.9227033  2.0073687  0.8323455  2.0452649  0.8509074 -0.1601718],[ 0.613514 -0.387084  0.285609]
148,[-2.303478   1.9227136  2.0073682  0.8323755  2.0453198  0.8510183 -0.1601241],[ 0.613516 -0.387085  0.28561 ]
149,[-2.303453   1.9227138  2.0073677  0.8322984  2.045304   0.8509682 -0.160209 ],[ 0.613522 -0.387099  0.285626]
150,[-2.3035381  1.9227689  2.0073508  0.8323294  2.0453055  0.8509647 -0.1601558],[ 0.613521 -0.3871    0.285629]
151,[-2.3034501  1.9227392  2.0073289  0.8323367  2.0452807  0.8509671 -0.1602043],[ 0.613518 -0.387101  0.285629]
152,[-2.3034606  1.9227646  2.0073353  0.8323454  2.0452933  0.8509546 -0.1602195],[ 0.613514 -0.387089  0.285624]
153,[-2.3035128  1.9227436  2.0073274  0.8323083  2.0453675  0.8509809 -0.1601191],[ 0.61351  -0.387091  0.285621]
154,[-2.3034525  1.9227615  2.0073444  0.8323877  2.0453095  0.8509291 -0.160137 ],[ 0.613517 -0.387096  0.285609]
155,[-2.3035171  1.9227047  2.0074018  0.832278   2.0453148  0.8509664 -0.1601627],[ 0.61352  -0.3871    0.285613]
156,[-2.3034833  1.9227128  2.0073157  0.832389   2.0453312  0.8509616 -0.1601624],[ 0.613522 -0.387102  0.285625]
157,[-2.3034778  1.9227745  2.007321   0.8323543  2.0453288  0.8510106 -0.1602085],[ 0.613523 -0.387097  0.285626]
158,[-2.3034528  1.9227183  2.007372   0.8323279  2.0452936  0.8509186 -0.1601868],[ 0.613519 -0.387092  0.285618]
159,[-2.3035102  1.9227105  2.0073267  0.8323793  2.0453052  0.8509877 -0.160116 ],[ 0.613522 -0.387089  0.28562 ]
160,[-2.3035088  1.9227322  2.0072945  0.8323545  2.0453331  0.8509551 -0.1602147],[ 0.61352  -0.38709   0.285618]
161,[-2.3034725  1.9226846  2.0073537  0.8323506  2.0453508  0.8509526 -0.1601836],[ 0.613522 -0.387097  0.28562 ]
162,[-2.3035162  1.922748   2.0073651  0.8323559  2.0452919  0.8509335 -0.160145 ],[ 0.613521 -0.387097  0.285621]
163,[-2.3034973  1.9227103  2.0073215  0.832363   2.0452933  0.8509471 -0.1601975],[ 0.613512 -0.387091  0.285626]
164,[-2.3034919  1.9227232  2.0073646  0.8323519  2.0452816  0.8509481 -0.1602066],[ 0.613513 -0.387093  0.285619]
165,[-2.3034306  1.9227523  2.0072991  0.8323567  2.0453052  0.8509645 -0.1601704],[ 0.613512 -0.387095  0.28562 ]
166,[-2.3034973  1.9226729  2.0073143  0.832353   2.0452783  0.8509061 -0.1601597],[ 0.613516 -0.387098  0.285615]
167,[-2.3035023  1.9227206  2.0073689  0.8323303  2.0452819  0.8510039 -0.1601845],[ 0.613514 -0.387102  0.285617]
168,[-2.3034828  1.9227388  2.0073465  0.8323872  2.0452401  0.8509909 -0.1602251],[ 0.613515 -0.3871    0.285617]
169,[-2.303494   1.9227611  2.0072895  0.8323428  2.0452747  0.8509389 -0.1601962],[ 0.613514 -0.387098  0.285621]
170,[-2.3034499  1.9227255  2.0073467  0.8323138  2.0453439  0.8509539 -0.1602053],[ 0.613516 -0.387093  0.285621]
171,[-2.3034339  1.9227753  2.0073961  0.8323627  2.0452843  0.850968  -0.1601808],[ 0.613518 -0.387096  0.285617]
172,[-2.3035109  1.9227384  2.007351   0.8323618  2.0453138  0.8509346 -0.160189 ],[ 0.61352  -0.387095  0.285618]
173,[-2.3034432  1.9226908  2.0073732  0.8323354  2.0453062  0.8509266 -0.1602083],[ 0.613525 -0.387102  0.285619]
174,[-2.3034947  1.9227276  2.0074001  0.8323083  2.0452771  0.8509519 -0.1602059],[ 0.613523 -0.3871    0.285621]
175,[-2.3034866  1.9227171  2.007336   0.8323543  2.0453205  0.8510102 -0.1601915],[ 0.613515 -0.387091  0.285622]
176,[-2.303524   1.9227549  2.0073134  0.8323745  2.0452964  0.8509723 -0.1601894],[ 0.613516 -0.387091  0.285618]
177,[-2.3034563  1.9226946  2.0073379  0.8323192  2.0452962  0.8509484 -0.1601552],[ 0.613516 -0.387094  0.285615]
178,[-2.3034921  1.9226996  2.007377   0.8323853  2.0453071  0.8509498 -0.1601637],[ 0.613517 -0.387094  0.28562 ]
179,[-2.3034759  1.922766   2.0073577  0.832336   2.0453024  0.8509291 -0.1602046],[ 0.613517 -0.387096  0.28562 ]
180,[-2.3035202  1.9227407  2.0073758  0.8323282  2.0452597  0.8509751 -0.1601286],[ 0.613516 -0.387094  0.285625]
181,[-2.3034604  1.9227388  2.0073818  0.8323407  2.0452947  0.8509328 -0.1601647],[ 0.613513 -0.387091  0.285627]
182,[-2.3034985  1.9228008  2.0073618  0.8323502  2.0453765  0.8509322 -0.1601952],[ 0.613513 -0.387091  0.285626]
183,[-2.3034969  1.9227708  2.0073808  0.8323791  2.0453062  0.8509379 -0.1601631],[ 0.613515 -0.387097  0.285615]
