id,joint_position,ball_loc
90,[-1.7150376  1.667038   1.9711009  0.2630403  1.6932548  0.1620469 -0.4665466],[ 0.781698 -0.52195   0.128398]
91,[-1.7191856  1.6622542  1.9685997  0.2687815  1.6879063  0.1619956 -0.4665769],[ 0.78047  -0.523827  0.128301]
92,[-1.7203369  1.6606526  1.9676361  0.2699196  1.687216   0.1620269 -0.4665603],[ 0.78004  -0.524167  0.128171]
93,[-1.7261646  1.6542013  1.9644258  0.2739784  1.6837512  0.1616987 -0.4665928],[ 0.777907 -0.524979  0.127547]
94,[-1.7337079  1.6475396  1.961442   0.2768291  1.6774042  0.1605849 -0.4665754],[ 0.77554  -0.525307  0.126475]
95,[-1.7430462  1.6399769  1.9596021  0.283421   1.6714088  0.1605155 -0.466568 ],[ 0.772459 -0.525364  0.124863]
96,[-1.7451037  1.6385247  1.9594567  0.2850493  1.6693949  0.1604621 -0.4665843],[ 0.772003 -0.525363  0.124572]
97,[-1.751057   1.6339641  1.9586746  0.2894098  1.6633852  0.1592221 -0.4665246],[ 0.769997 -0.525687  0.123459]
98,[-1.752866   1.6322078  1.9580492  0.2894975  1.6616893  0.1583069 -0.466602 ],[ 0.769531 -0.525617  0.123154]
99,[-1.754884   1.6305022  1.9573895  0.2896505  1.6600027  0.1571245 -0.4665955],[ 0.768936 -0.525503  0.122887]
100,[-1.7631669  1.6240126  1.955651   0.2915281  1.6502751  0.1503223 -0.4665579],[ 0.766177 -0.52516   0.121781]
101,[-1.7735362  1.6162668  1.9541029  0.295304   1.6379025  0.1465444 -0.4665984],[ 0.763166 -0.524888  0.119856]
102,[-1.7846586  1.608832   1.9533836  0.3035695  1.6240337  0.1394132 -0.4664538],[ 0.75961  -0.525049  0.118508]
103,[-1.7871889  1.6072212  1.9533153  0.3054218  1.620766   0.138764  -0.4662601],[ 0.758968 -0.525149  0.118378]
104,[-1.7969266  1.6019838  1.9533055  0.313123   1.6102968  0.1385684 -0.4659983],[ 0.756175 -0.525159  0.116809]
105,[-1.8076133  1.597387   1.9532945  0.3202533  1.5979965  0.1374522 -0.4658249],[ 0.753111 -0.525081  0.115646]
106,[-1.8103333  1.5961956  1.9532281  0.3218874  1.5943829  0.1372118 -0.465791 ],[ 0.752515 -0.525036  0.115452]
107,[-1.8237709  1.5917746  1.9532262  0.329624   1.5805656  0.1358625 -0.4657629],[ 0.748661 -0.524387  0.114477]
108,[-1.8350205  1.5891345  1.953416   0.3356986  1.5690571  0.1348372 -0.4655668],[ 0.745348 -0.523446  0.113879]
109,[-1.8374853  1.5886207  1.9533422  0.3362908  1.5670326  0.1346513 -0.4656066],[ 0.744723 -0.523179  0.11385 ]
110,[-1.8511962  1.5868521  1.9535182  0.3419624  1.5535179  0.1340162 -0.4655761],[ 0.740853 -0.521514  0.113548]
111,[-1.8648788  1.5863527  1.9530921  0.3431454  1.5400865  0.1340757 -0.465584 ],[ 0.737337 -0.519415  0.113541]
112,[-1.8679013  1.5863321  1.9531909  0.3437249  1.5366905  0.1340817 -0.4655566],[ 0.736743 -0.518997  0.113622]
113,[-1.8783654  1.5863301  1.953229   0.345265   1.5240108  0.1340683 -0.4655856],[ 0.734153 -0.517464  0.113608]
114,[-1.8813503  1.5863774  1.953161   0.3451892  1.5208337  0.1346611 -0.4655685],[ 0.733687 -0.517164  0.113641]
115,[-1.8914986  1.5863476  1.9531096  0.3456585  1.508997   0.1348132 -0.4656143],[ 0.73124  -0.515332  0.113577]
116,[-1.8938206  1.5863159  1.9531851  0.3456749  1.5059041  0.1345948 -0.4655594],[ 0.730729 -0.514891  0.113529]
117,[-1.9042391  1.5864078  1.9532002  0.3453794  1.4912392  0.1359362 -0.4656345],[ 0.728677 -0.513183  0.113234]
118,[-1.9167695  1.5864844  1.9533188  0.3450696  1.4726847  0.1375282 -0.4655783],[ 0.726637 -0.511568  0.112879]
119,[-1.9282058  1.5868949  1.9532945  0.3449284  1.4546164  0.1379519 -0.465584 ],[ 0.72463  -0.509892  0.112708]
120,[-1.9362963  1.5878094  1.9536631  0.3440465  1.4426411  0.1399549 -0.4655814],[ 0.723333 -0.508532  0.112592]
121,[-1.9379628  1.5882751  1.9540098  0.343356   1.440833   0.1408041 -0.4655434],[ 0.723198 -0.508224  0.112471]
122,[-1.9443508  1.591449   1.9559325  0.3418845  1.4299549  0.1416986 -0.4655991],[ 0.722591 -0.506494  0.112419]
123,[-1.9499536  1.5957575  1.9592228  0.3415886  1.4199957  0.1484141 -0.4656517],[ 0.722765 -0.504973  0.112224]
124,[-1.9509522  1.5970768  1.9601134  0.3414271  1.4175582  0.1500001 -0.4655969],[ 0.722972 -0.504678  0.112103]
125,[-1.9521687  1.5983777  1.9611818  0.341318   1.4151096  0.1504424 -0.4655997],[ 0.723102 -0.504367  0.112149]
126,[-1.9566846  1.6045483  1.966175   0.3418813  1.4047771  0.1515074 -0.4656064],[ 0.723392 -0.5029    0.112496]
127,[-1.9611326  1.610945   1.9720943  0.3419208  1.3944552  0.15269   -0.4655912],[ 0.724034 -0.501011  0.112517]
128,[-1.9625611  1.6125985  1.9737781  0.3422506  1.3912681  0.15273   -0.465605 ],[ 0.724084 -0.50057   0.112526]
129,[-1.9637134  1.6143411  1.9754951  0.3422026  1.3884038  0.152935  -0.4655935],[ 0.724224 -0.500165  0.112477]
130,[-1.9676229  1.6199442  1.9814867  0.3426018  1.3814439  0.1535642 -0.4656012],[ 0.724675 -0.498022  0.112161]
131,[-1.9690998  1.6218847  1.9835342  0.3427667  1.3784335  0.1537428 -0.4655959],[ 0.724796 -0.49739   0.112051]
132,[-1.9752419  1.6296118  1.9924444  0.3419513  1.3700364  0.1568148 -0.4655576],[ 0.725351 -0.493719  0.110969]
133,[-1.9803927  1.6353561  1.9992949  0.3425325  1.363481   0.1594578 -0.4656019],[ 0.725634 -0.490858  0.110068]
134,[-1.9817803  1.6371059  2.0012841  0.3422734  1.3619736  0.1597915 -0.4656132],[ 0.725693 -0.490053  0.109891]
135,[-1.9872434  1.6433902  2.0086436  0.3413905  1.3579938  0.1599428 -0.4656304],[ 0.72559  -0.486089  0.10896 ]
136,[-1.9886636  1.6449718  2.0104506  0.3415388  1.3564774  0.1599675 -0.4655849],[ 0.725587 -0.485396  0.108811]
137,[-1.9916856  1.6492473  2.0150602  0.3417288  1.3535781  0.1602813 -0.4655787],[ 0.725477 -0.48303   0.108395]
138,[-1.9924539  1.6507294  2.0166049  0.3417566  1.3534794  0.1605339 -0.4655781],[ 0.725542 -0.482487  0.108258]
139,[-1.9931328  1.6521157  2.0179093  0.3415582  1.353418   0.160788  -0.4655904],[ 0.725444 -0.481873  0.1082  ]
140,[-1.9942384  1.6581367  2.0223291  0.3401465  1.3535086  0.1613461 -0.4655995],[ 0.725885 -0.479612  0.108369]
141,[-1.9941562  1.6595242  2.0229127  0.3389979  1.3534594  0.1616709 -0.4655976],[ 0.726046 -0.479304  0.108359]
142,[-1.9930621  1.6659312  2.0257483  0.3364495  1.3533958  0.1626755 -0.465593 ],[ 0.727132 -0.478352  0.109334]
143,[-1.9924805  1.6678513  2.0264492  0.335561   1.353448   0.1628752 -0.4655288],[ 0.727379 -0.4782    0.109641]
144,[-1.9902849  1.6756996  2.0287931  0.3309409  1.3532275  0.1646661 -0.4656132],[ 0.729031 -0.477554  0.111119]
145,[-1.9899462  1.6779358  2.0294578  0.3299433  1.3532814  0.1657505 -0.4655601],[ 0.729375 -0.477335  0.111477]
146,[-1.9880958  1.6874387  2.0329382  0.3244765  1.3535483  0.1717672 -0.4655758],[ 0.731408 -0.475965  0.112582]
147,[-1.9877729  1.6900233  2.0339541  0.3231296  1.353533   0.1724385 -0.4655458],[ 0.731844 -0.475681  0.112833]
148,[-1.9863672  1.700815   2.0379896  0.3140138  1.3540248  0.1735583 -0.465591 ],[ 0.733754 -0.473232  0.114113]
149,[-1.9858888  1.7034314  2.0389709  0.3108322  1.3540033  0.1740949 -0.4656137],[ 0.734242 -0.472686  0.114326]
150,[-1.9850427  1.7143098  2.04233    0.2990197  1.3540081  0.1764775 -0.4656291],[ 0.736324 -0.469534  0.115202]
151,[-1.9848851  1.7169942  2.0433221  0.2960983  1.3541394  0.1777647 -0.4656292],[ 0.736718 -0.468866  0.115342]
152,[-1.9847093  1.7278899  2.0466983  0.2852427  1.3539586  0.1846656 -0.4656185],[ 0.739074 -0.465739  0.115911]
153,[-1.9845287  1.7306448  2.0474296  0.2825851  1.3539056  0.1850324 -0.4655835],[ 0.739446 -0.465196  0.116163]
154,[-1.984304   1.7419012  2.0506318  0.2740182  1.354008   0.1853672 -0.4655497],[ 0.740833 -0.462358  0.117876]
155,[-1.9836764  1.7507809  2.0538983  0.2693358  1.3544235  0.1854757 -0.4655742],[ 0.741771 -0.460557  0.11935 ]
156,[-1.9828026  1.7589871  2.0568972  0.2645939  1.3555719  0.1858344 -0.4655811],[ 0.742752 -0.458843  0.120762]
157,[-1.9823442  1.7616194  2.0576556  0.262337   1.356164   0.1859237 -0.4655965],[ 0.742998 -0.458383  0.121078]
158,[-1.9810079  1.7696257  2.0600035  0.2552412  1.3575194  0.1863214 -0.4656246],[ 0.744312 -0.456418  0.122173]
159,[-1.980413   1.7722195  2.0609763  0.2535759  1.3585675  0.186524  -0.4655589],[ 0.744661 -0.455959  0.122489]
160,[-1.9781986  1.7824713  2.0640488  0.2434409  1.3623414  0.187044  -0.4655922],[ 0.746275 -0.453229  0.123702]
161,[-1.9777896  1.7850355  2.0649154  0.2414746  1.3630391  0.1871042 -0.465553 ],[ 0.746543 -0.452689  0.123999]
162,[-1.9762449  1.7956882  2.0684664  0.2320754  1.3658339  0.1896948 -0.4655538],[ 0.748154 -0.449803  0.125064]
163,[-1.9758644  1.7984818  2.0695136  0.2300399  1.3664271  0.1914992 -0.4655744],[ 0.748621 -0.44923   0.125161]
164,[-1.9751875  1.8099922  2.0735369  0.2200107  1.3677528  0.1954013 -0.4655972],[ 0.750683 -0.446045  0.12588 ]
165,[-1.975044   1.8129348  2.0746286  0.2174013  1.3685144  0.195697  -0.4656352],[ 0.750942 -0.445332  0.126099]
166,[-1.9747207  1.8249354  2.0785933  0.2059545  1.3711591  0.1979565 -0.465608 ],[ 0.752645 -0.441425  0.127004]
167,[-1.9747752  1.8278873  2.0796969  0.2034484  1.3718007  0.1984732 -0.4655805],[ 0.75292  -0.440632  0.127232]
168,[-1.9753796  1.8429875  2.0855403  0.192846   1.3755956  0.2050064 -0.4656046],[ 0.754581 -0.436035  0.12832 ]
169,[-1.9756814  1.8551168  2.0909808  0.1866608  1.3769993  0.2087142 -0.4655795],[ 0.756064 -0.432712  0.129148]
170,[-1.975667   1.8581471  2.0925703  0.1853264  1.3774048  0.2088431 -0.4656116],[ 0.756333 -0.432061  0.129364]
171,[-1.9756596  1.8696048  2.0973921  0.1765209  1.377466   0.2100757 -0.4655837],[ 0.757939 -0.428714  0.13012 ]
172,[-1.9755944  1.8722914  2.098645   0.1745248  1.3774792  0.2107064 -0.4656075],[ 0.758287 -0.428104  0.130191]
173,[-1.9756347  1.8831851  2.1036003  0.1662807  1.377565   0.2184073 -0.4655835],[ 0.760449 -0.424904  0.130132]
174,[-1.9756174  1.8859173  2.1049631  0.1646643  1.3775361  0.2193065 -0.4656318],[ 0.760885 -0.424302  0.130193]
175,[-1.9752231  1.8969297  2.1103365  0.1586526  1.3779755  0.2200425 -0.4656442],[ 0.762418 -0.421502  0.130717]
176,[-1.9749818  1.899586   2.1115513  0.1567517  1.3783319  0.2201047 -0.4656343],[ 0.762675 -0.420879  0.130791]
177,[-1.9746546  1.9079331  2.1150875  0.1512735  1.3787268  0.2203886 -0.4656062],[ 0.763745 -0.418566  0.131339]
