id,joint_position,m6
91,[-2.8834691  1.2218173  1.5044014  0.3074336  0.4934435  0.1551314 -0.480685 ],[-0.575154  0.384792  0.114762]
92,[-2.8843563  1.2208064  1.5000868  0.3027621  0.493011   0.1504378 -0.4795921],[-0.575833  0.385344  0.115752]
93,[-2.8882568  1.2162631  1.4818742  0.2811139  0.4926572  0.1321423 -0.4713446],[-0.579057  0.387677  0.120482]
94,[-2.8920891  1.2106975  1.4624211  0.2555376  0.4911799  0.1160087 -0.4636821],[-0.581374  0.390134  0.12425 ]
95,[-2.8932698  1.2092803  1.4573897  0.2493677  0.4904423  0.1122757 -0.4635691],[-0.581808  0.390572  0.125007]
96,[-2.8940215  1.2079051  1.4525212  0.2429212  0.4894614  0.1081982 -0.463415 ],[-0.58222   0.390952  0.125685]
97,[-2.8960254  1.2047122  1.4420258  0.2283324  0.4884295  0.0998273 -0.463203 ],[-0.583203  0.392357  0.127705]
98,[-2.897918   1.2019275  1.43203    0.2141035  0.48667    0.0896934 -0.4628554],[-0.583938  0.393251  0.12916 ]
99,[-2.9018536  1.1958812  1.4114559  0.1845458  0.4853163  0.0714192 -0.4622405],[-0.585717  0.395665  0.132984]
100,[-2.902837   1.1943439  1.4059573  0.17658    0.4853396  0.0671215 -0.4621737],[-0.586013  0.396263  0.133639]
101,[-2.90485    1.1909507  1.3949043  0.1605066  0.4847417  0.0590685 -0.4618318],[-0.586808  0.397887  0.135674]
102,[-2.9080386  1.1867831  1.3796473  0.1394756  0.4836082  0.0445187 -0.4611084],[-0.587927  0.399361  0.138247]
103,[-2.9127815  1.1805385  1.3554552  0.1071053  0.4836564  0.0271888 -0.460382 ],[-0.590057  0.402798  0.143098]
104,[-2.9176841  1.1769508  1.3360741  0.0859277  0.4837093  0.0179986 -0.4597239],[-0.592161  0.405814  0.147867]
105,[-2.9186699  1.1764815  1.3325758  0.0824575  0.4836507  0.0161739 -0.4596705],[-0.592539  0.406259  0.148778]
106,[-2.9203887  1.1756271  1.3259622  0.0768436  0.4838042  0.0133752 -0.4593907],[-0.593607  0.407648  0.151318]
107,[-2.922163   1.1752132  1.3209654  0.0729614  0.4841018  0.0104501 -0.4591454],[-0.594471  0.408538  0.153017]
108,[-2.9262245e+00  1.1746715e+00  1.3105241e+00  6.4602621e-02  4.8689365e-01 -4.6161795e-04 -4.5712012e-01],[-0.596934  0.411475  0.157672]
109,[-2.9282625  1.1735786  1.3046862  0.0590002  0.4877191 -0.0105912 -0.4553379],[-0.598561  0.413269  0.160609]
110,[-2.9297163  1.1727527  1.3007953  0.0548677  0.4887681 -0.0160296 -0.4538411],[-0.599285  0.414202  0.161743]
111,[-2.9325716  1.1702636  1.293481   0.0478701  0.4941115 -0.0206043 -0.4518175],[-0.600943  0.417033  0.163372]
112,[-2.9334562  1.16939    1.2914337  0.0455777  0.4962378 -0.0222261 -0.4509335],[-0.601541  0.418258  0.163616]
113,[-2.9352248  1.1653712  1.2843187  0.0375159  0.4989085 -0.0279945 -0.4476357],[-0.602677  0.419871  0.163876]
114,[-2.9353306  1.1647151  1.2833273  0.036106   0.4993739 -0.0289101 -0.4470184],[-0.602778  0.420041  0.163801]
115,[-2.9352739  1.1640742  1.2822967  0.0345013  0.4996738 -0.0295019 -0.446183 ],[-0.602843  0.420124  0.163751]
116,[-2.9351966  1.161917   1.2788547  0.0287986  0.5009174 -0.0340787 -0.4412684],[-0.603055  0.420257  0.163526]
117,[-2.9349384  1.160332   1.2764494  0.0244038  0.5014625 -0.0387526 -0.4366481],[-0.603161  0.420151  0.163526]
118,[-2.9348259  1.1592239  1.2748308  0.0214437  0.5013947 -0.041179  -0.4341343],[-0.603207  0.419999  0.163514]
119,[-2.9342272  1.1568111  1.2714751  0.0157181  0.5016699 -0.0476331 -0.4263458],[-0.603542  0.419568  0.163518]
120,[-2.9339523  1.1564716  1.271005   0.014714   0.5019164 -0.0495633 -0.4243509],[-0.6036    0.419542  0.16353 ]
121,[-2.9337029  1.1556228  1.2700008  0.0120694  0.5020685 -0.0539543 -0.4195721],[-0.60373   0.419454  0.16358 ]
122,[-2.9334204  1.1546672  1.2688259  0.0089468  0.5021453 -0.0576879 -0.4170171],[-0.603752  0.419326  0.16352 ]
123,[-2.9328744  1.1535075  1.2678621  0.0037605  0.503408  -0.0605187 -0.4158496],[-0.603312  0.418916  0.162944]
124,[-2.9326091e+00  1.1533511e+00  1.2678015e+00  2.3246761e-03  5.0360012e-01 -6.0698885e-02 -4.1555381e-01],[-0.603101  0.418836  0.162721]
125,[-2.9316506e+00  1.1537669e+00  1.2697126e+00 -8.3344942e-04  5.0266886e-01 -5.9975658e-02 -4.1365579e-01],[-0.60156   0.417807  0.161349]
126,[-2.9293263  1.1588748  1.2808914  0.0053635  0.5023541 -0.0563086 -0.4105565],[-0.599598  0.416568  0.160025]
127,[-2.9269435  1.1704028  1.302861   0.0204702  0.5022273 -0.042977  -0.4068079],[-0.595766  0.415369  0.157705]
128,[-2.9250491  1.1835254  1.3260428  0.0330043  0.502882  -0.024279  -0.4049952],[-0.590294  0.414655  0.154551]
129,[-2.9245274  1.1874622  1.3322396  0.0351726  0.5027952 -0.0211175 -0.4047007],[-0.588988  0.414546  0.153898]
130,[-2.9219615  1.208834   1.3660167  0.0416432  0.5087919 -0.0129438 -0.4033976],[-0.580564  0.415222  0.151036]
131,[-2.9214664  1.2135204  1.3729483  0.0420418  0.5111876 -0.0113004 -0.4034281],[-0.579085  0.415524  0.150659]
132,[-2.9206178  1.2234443  1.3875918  0.0432082  0.5171285 -0.008017  -0.4032461],[-0.574487  0.41675   0.149276]
133,[-2.9198108  1.2327483  1.4006675  0.0437481  0.5238814 -0.0045697 -0.4031636],[-0.571474  0.417805  0.14847 ]
134,[-2.9182947  1.253382   1.4294379  0.0485524  0.5378423  0.0072092 -0.4030293],[-0.563933  0.420872  0.146495]
135,[-2.9179482  1.258549   1.4366349  0.0506908  0.5397301  0.0111061 -0.4029725],[-0.562378  0.421352  0.146055]
136,[-2.9177547  1.2636741  1.4437376  0.0528969  0.5413127  0.0146264 -0.4029086],[-0.560897  0.421737  0.14576 ]
137,[-2.9172239  1.2839168  1.4714029  0.0590315  0.5457625  0.0249652 -0.4029492],[-0.553218  0.423438  0.144196]
138,[-2.9167092  1.2992404  1.4930619  0.0639404  0.5522423  0.0295038 -0.4029721],[-0.547162  0.425245  0.142962]
139,[-2.9164333  1.3044818  1.5002835  0.0649507  0.5545039  0.0303474 -0.4029579],[-0.545719  0.425818  0.142621]
140,[-2.916266   1.3092254  1.5073317  0.0657893  0.5568547  0.0308827 -0.4029587],[-0.544253  0.426393  0.142337]
141,[-2.9149654  1.3350814  1.5424981  0.0701388  0.5721941  0.0336025 -0.4029418],[-0.535504  0.430093  0.140563]
142,[-2.9133847  1.3596271  1.5746187  0.0715645  0.5857735  0.0347117 -0.4029693],[-0.526872  0.433941  0.13911 ]
143,[-2.9131269  1.3641513  1.5806321  0.0717225  0.5866599  0.0351829 -0.4030012],[-0.525392  0.43422   0.138993]
144,[-2.9115117  1.3830035  1.6033728  0.0716935  0.5915427  0.0376286 -0.402959 ],[-0.518141  0.435695  0.138113]
145,[-2.9109521  1.3877834  1.6092184  0.0719627  0.5933361  0.0382638 -0.4029196],[-0.516719  0.436035  0.137943]
146,[-2.9083135  1.4061874  1.6310716  0.0705915  0.6045785  0.0393848 -0.4029121],[-0.509862  0.43795   0.13731 ]
147,[-2.9034741  1.428202   1.6540722  0.064855   0.6244903  0.0395806 -0.4029207],[-0.502616  0.440674  0.137222]
148,[-2.9025819  1.4324191  1.6582071  0.0639065  0.628623   0.0395528 -0.4030357],[-0.501533  0.44111   0.137282]
149,[-2.9004457  1.4405807  1.6665297  0.0634263  0.635427   0.0394391 -0.4029171],[-0.498643  0.442095  0.137822]
150,[-2.8986237  1.4484428  1.6745194  0.0636614  0.6400723  0.0394677 -0.4028881],[-0.496911  0.442409  0.138268]
151,[-2.8928776  1.4684547  1.6937001  0.0637483  0.6483269  0.0396883 -0.402932 ],[-0.491405  0.44243   0.139607]
152,[-2.8920395  1.4725421  1.6975962  0.0640098  0.6501365  0.0399697 -0.4029018],[-0.490493  0.442413  0.139794]
153,[-2.8896148  1.4808887  1.7057401  0.0639076  0.6545367  0.0406278 -0.4027927],[-0.487512  0.442469  0.140254]
154,[-2.8879559  1.488869   1.7135392  0.0636414  0.6583271  0.0412213 -0.402796 ],[-0.485507  0.442582  0.140539]
155,[-2.8845117  1.5042174  1.7284601  0.0630386  0.6644535  0.0433483 -0.4027061],[-0.480437  0.442644  0.141195]
156,[-2.8835332  1.5078109  1.7317678  0.0626118  0.6654477  0.0441583 -0.4026759],[-0.479459  0.442623  0.141316]
157,[-2.8798282  1.5248988  1.7482699  0.0616961  0.6724     0.0474016 -0.402733 ],[-0.474034  0.44306   0.141779]
158,[-2.8792889  1.528086   1.7514458  0.0616162  0.6738443  0.0481231 -0.4026726],[-0.473239  0.443212  0.141833]
159,[-2.8775156  1.5395187  1.763654   0.061696   0.6791258  0.0509507 -0.4026013],[-0.469258  0.44408   0.1417  ]
160,[-2.8763051  1.5517123  1.7780892  0.062001   0.6834216  0.0584853 -0.4024714],[-0.464426  0.44517   0.140369]
161,[-2.8757675  1.5628131  1.7915903  0.0621487  0.6857314  0.0675429 -0.4020995],[-0.459454  0.446054  0.138335]
162,[-2.8756824  1.5650962  1.7943628  0.0620816  0.6864719  0.0688214 -0.4020828],[-0.458662  0.446242  0.138069]
163,[-2.8750446  1.5748351  1.8053071  0.0620836  0.6904049  0.072838  -0.401804 ],[-0.454831  0.447448  0.13701 ]
164,[-2.8739915  1.5886405  1.819234   0.062785   0.6967325  0.0761425 -0.4012373],[-0.450712  0.448938  0.136674]
165,[-2.8721783  1.6045497  1.8344555  0.0652583  0.704289   0.0801013 -0.4004798],[-0.446483  0.45031   0.137089]
166,[-2.8707764  1.6147159  1.8437276  0.0672854  0.7079902  0.0829107 -0.3996004],[-0.443687  0.450876  0.137601]
167,[-2.8695989  1.6215175  1.8500932  0.0682649  0.7105255  0.0852694 -0.3990436],[-0.442119  0.451131  0.137695]
168,[-2.8660967  1.6379035  1.8656192  0.0688852  0.7203302  0.0908183 -0.3966194],[-0.437414  0.45215   0.137712]
169,[-2.8583968  1.6630672  1.8894117  0.0703771  0.7374163  0.0989927 -0.3924958],[-0.430006  0.453415  0.137322]
170,[-2.8559384  1.669905   1.8958904  0.072065   0.7418089  0.1020568 -0.3919216],[-0.428558  0.453445  0.137254]
171,[-2.8497629  1.6848758  1.9107385  0.0771257  0.7523956  0.1092077 -0.3907866],[-0.424725  0.453245  0.137117]
172,[-2.8459611  1.6927131  1.9180621  0.0787504  0.7574062  0.1124017 -0.3905326],[-0.423031  0.453036  0.137073]
173,[-2.8371422  1.7094463  1.9338807  0.0812044  0.770824   0.1185857 -0.3903293],[-0.418473  0.452346  0.1368  ]
174,[-2.8265791  1.7266524  1.9503577  0.0821624  0.7857842  0.123564  -0.3901039],[-0.413535  0.451474  0.136285]
175,[-2.8237929  1.7309154  1.9542201  0.082351   0.7888751  0.1246167 -0.3900932],[-0.412526  0.451206  0.136181]
176,[-2.8091781  1.7530063  1.9743018  0.0823428  0.8057504  0.1302774 -0.3900424],[-0.406289  0.449099  0.135717]
177,[-2.8002977  1.767155   1.9866374  0.0820972  0.8188257  0.1338638 -0.3899636],[-0.402087  0.448298  0.135483]
178,[-2.7942419  1.7770446  1.9951138  0.0822728  0.82828    0.1359075 -0.3898678],[-0.400094  0.448148  0.135461]
179,[-2.7909861  1.7821353  1.9996235  0.0823466  0.8336349  0.1372881 -0.3897904],[-0.399111  0.448114  0.135466]
180,[-2.7795928  1.8040069  2.0181477  0.0832336  0.8573318  0.1410962 -0.3897485],[-0.394163  0.448982  0.135659]
181,[-2.7645242  1.8326419  2.0408764  0.0819802  0.8878551  0.1477648 -0.3896624],[-0.387666  0.450521  0.135782]
182,[-2.7450597  1.8639758  2.0625176  0.0774024  0.9271126  0.1533115 -0.3896286],[-0.381098  0.452123  0.136755]
183,[-2.7197666  1.8947299  2.0807538  0.0662368  0.9728308  0.154909  -0.3895739],[-0.374659  0.453352  0.138502]
184,[-2.696012   1.9181102  2.0927887  0.0567207  1.0045357  0.1558817 -0.3896112],[-0.369611  0.452053  0.140464]
185,[-2.6679316  1.9415725  2.1046841  0.047651   1.0418859  0.1581403 -0.3896076],[-0.364673  0.449859  0.142291]
186,[-2.6529715  1.953297   2.1110139  0.0436246  1.0616899  0.159059  -0.3896475],[-0.362708  0.448775  0.14302 ]
187,[-2.6120713  1.982178   2.126204   0.0340685  1.1115108  0.1626182 -0.389588 ],[-0.356948  0.445079  0.144841]
188,[-2.5954504  1.9928973  2.1318898  0.0301095  1.1310987  0.164348  -0.3896224],[-0.354113  0.443155  0.145645]
189,[-2.5319333  2.0317462  2.1516275  0.0164978  1.2065997  0.1710317 -0.3895759],[-0.346632  0.437489  0.14763 ]
190,[-2.4936664  2.0520404  2.1622481  0.0098442  1.2605081  0.1738019 -0.3896028],[-0.342771  0.435685  0.148725]
191,[-2.4860253  2.0555766  2.1639016  0.0082277  1.2714643  0.1737609 -0.3895505],[-0.342216  0.435489  0.148899]
192,[-2.471072   2.0617793  2.1670828  0.0050852  1.2932525  0.1738219 -0.3895394],[-0.340824  0.435011  0.149386]
193,[-2.4637043  2.0645374  2.1682489  0.0033472  1.3041835  0.1741334 -0.3896835],[-0.340268  0.434846  0.149469]
194,[-2.4566154e+00  2.0669597e+00  2.1694241e+00  2.0682020e-03  1.3137393e+00  1.7407162e-01 -3.8962832e-01],[-0.339853  0.434603  0.149599]
195,[-2.4217169  2.0760005  2.1733086 -0.0055926  1.3619485  0.1765957 -0.3896308],[-0.337371  0.432216  0.150079]
196,[-2.4010861  2.079407   2.174459  -0.0086299  1.3883142  0.1771219 -0.3896105],[-0.336121  0.430012  0.150397]
197,[-2.356519   2.0819038  2.1744137 -0.0108467  1.4346089  0.1776747 -0.3895874],[-0.334799  0.422839  0.151455]
198,[-2.3267896  2.081404   2.1732051 -0.0107192  1.4652896  0.1774627 -0.3895605],[-0.334403  0.417275  0.152257]
199,[-2.3055637  2.0798133  2.1722891 -0.0107145  1.4890914  0.1768391 -0.3895738],[-0.334049  0.413233  0.152571]
200,[-2.3006361  2.0789989  2.1721451 -0.0105914  1.4950237  0.1764121 -0.3896123],[-0.333982  0.412553  0.15259 ]
201,[-2.2785628  2.0731605  2.1702442 -0.0110744  1.5225801  0.1730726 -0.3896522],[-0.333826  0.409015  0.152318]
